resample,optimism,max_rhat,n_divergences
0,-0.11842105263157898,1.0018416054974726,12
1,0.17344497607655507,1.0008838816268353,17
2,-0.049190283400809776,1.001253564226635,2
3,0.07929824561403503,1.0003778393491898,38
4,0.06265089328826656,1.0013468136095363,4
5,0.15430622009569372,1.001102117542133,4
6,-0.25478468899521534,1.000620263099046,12
7,0.1680372807017544,1.0019577665591157,4
8,0.04714912280701761,1.0014262689637616,5
9,0.00226860254083483,1.0013728092448702,3
10,0.19407894736842102,1.001191055126033,21
11,0.13421052631578945,1.0006684427085422,53
12,-0.11842105263157898,1.0015394614483613,19
13,-0.03785233225243201,1.0007364085610893,4
14,-0.10821697099892591,1.0006341440325364,14
15,0.1786086503387181,1.0011770238373578,6
16,9.74658869394851e-05,1.0007630922172195,4
17,0.15300751879699248,1.0007105279759905,15
18,0.10323886639676111,1.0007731703016125,3
19,-0.07080200501253131,1.0014331555178608,5
20,0.13157894736842102,1.0011911195147938,17
21,0.07171979243884352,1.0010070975253627,27
22,0.12157894736842101,1.0020965000067097,4
23,0.04450029568302771,1.0008901669094594,0
24,-0.09342105263157896,1.0006003294212247,14
25,0.06860184813177983,1.0010976020516793,0
26,0.06636155606407323,1.0014699906399431,2
27,0.07631578947368428,1.0004323854374182,28
28,0.06052631578947365,1.0006485453001386,8
29,0.21052631578947367,1.0007676006186847,3
30,0.12406015037593981,1.0006269871119837,19
31,-0.23842105263157898,1.001354579514499,5
32,-0.11842105263157898,1.0008089666787003,33
33,-0.07397660818713458,1.0003995756005069,3
34,-0.04502655721873494,1.0010616191837935,12
35,0.33270676691729323,1.5241446318246406,2005
36,-0.0030364372469635637,1.00211276974314,5
37,0.26023391812865493,1.0005258460346476,23
38,0.11276174306734577,1.0011779979170685,1
39,0.14199561403508765,1.0013025686179216,40
40,0.12841439040639568,1.0010766742932458,3
41,0.10606874328678839,1.000568959285664,3
42,0.05763528539659002,1.001198892678944,6
43,0.04521531100478471,1.000988472386836,1
44,0.019736842105263164,1.0012083026695784,1
45,-0.17397660818713456,1.001943972623237,10
46,0.2149122807017544,1.0003757184611002,20
47,0.07348560079443894,1.0014647914984722,8
48,-0.128421052631579,1.5247685194913312,2008
49,0.08991228070175439,1.0006396680516694,3
50,-0.01585695006747645,1.0003242440733788,17
51,0.051481859989780276,1.0007265271938341,20
52,-0.00998731769181993,1.0008524491431399,1
53,-0.046992481203007586,1.0005410679531834,2
54,0.24855142443264122,1.0019804537183965,17
55,0.04030910609857974,1.0010378608362538,1
56,-0.07675438596491235,1.0013206153025773,31
57,0.15538847117794485,1.0006955392089432,2
58,-0.06912527798369161,1.001855511061281,4
59,0.09799685781618217,1.0007087000541743,7
60,0.00039082855653982396,1.0014768178808502,5
61,-0.0709526982011992,1.0011828047717661,9
62,0.08702449192287642,1.0021965073688919,1
63,0.11822016874246677,1.0014384870780904,1
64,0.05806182121971598,1.0009704665853112,29
65,0.03274173806609548,1.0013448969887988,0
66,0.17869269949066213,1.0004356333389002,28
67,0.12833219412166774,1.000770916888896,7
68,0.1394736842105263,1.0007922680601034,43
69,0.1453349282296651,1.0001550657117066,17
70,-0.0012335526315789824,1.0014970047673133,26
71,0.12925696594427244,1.0014470214354865,22
72,0.14594676346037505,1.0004255871095986,1
73,-0.022267206477732837,1.0012683242191978,8
74,0.28557504873294354,1.0008781419296648,23
75,0.17280701754385963,1.0026958575136573,27
76,0.12315198107628622,1.0009672072196758,12
77,0.0703544575725027,1.000453545091255,0
78,0.18612440191387558,1.001513347898618,5
79,0.2693169092945129,1.0010376776139476,26
80,0.008563074352547995,1.0010970847882095,38
81,0.011015911872705009,1.5251069827146146,2006
82,0.13689271255060736,1.0010584619618281,11
83,0.19631578947368428,1.0008166237103238,7
84,0.038100686498855785,1.0026319112855022,2
85,0.09060150375939852,1.0009344496665145,43
86,0.06957894736842096,1.0007497732779538,5
87,0.1233371891266628,1.5241760286350614,2000
88,0.06092677345537756,1.0004644253697352,9
89,0.08307148468185388,1.000584603644334,110
90,0.08370660694288912,1.0003704023213331,9
91,0.006578947368421018,1.0012833236860665,6
92,0.05504833512352303,1.0006813829747965,13
93,0.1632690882134914,1.0005569994111865,21
94,0.006578947368421018,1.001686377823584,19
95,0.022604588394062097,1.001298414052627,8
96,0.035165346995808144,1.0015224704797188,3
97,0.040767903364969826,1.0014336474994678,12
98,0.20614035087719296,1.001048786589472,24
99,0.09807379272924577,1.0008610611072002,3
